Product_Code,Product_code_Title,Supplier_Count,Number_of_Searches
1.1.6,Pre-Cast Building Products,39,4910
1.1.7,Paints & Varnishes,19,4241
1.1.8,Fasteners & Fixings,75,5064
1.1.9,Scaffolding,58,3482
1.1.10,"Glass, Ceramic, Plastic & Rubber Products",19,1524
1.1.11,Textile fibres,2,1056
1.1.13,Road Furniture,97,2189
1.1.14,Fencing,145,3403
1.1.16,Tinsmith Products,2,1102
1.1.18,Underground Marker Materials,30,2922
1.1.19,Insulation/Plastic Tape,38,3572
1.1.20,Muds,1,733
1.1.22,Domestic Appliances,31,2000
1.1.23,Adhesives & Sealants - General,30,3107
1.1.26,Prefabricated Buildings & Associated Products,68,1617
1.1.27,Industrial Consumables,35,3350
1.1.29,"Padlocks, bolts and locks",21,1875
1.1.30,Plumbing Equipment & Sundries,12,1580
1.1.32,Lifts & Escalators,10,1431
1.1.33,Light structure,13,897
1.1.34,Metal grids,17,979
1.1.35,Bulkhead gates,4,990
1.1.36,Metal cabinets and boxes,20,908
1.1.37,Gas bottles,8,954
1.1.38,Metal containers,12,1181
1.1.39,Sandwich panels and other composite materials,8,855
1.1.99,Other Building/Civil Products,60,1644
1.2.1,Sand,52,2221
1.2.3,Aggregate & Stone,86,1738
1.2.4,Reinstatement Products,44,2023
1.2.8,Insulation & Materials,58,1382
1.2.9,Mobile Accommodation Units,33,1198
1.2.16,Timber Materials,18,2136
1.2.17,Fixtures & Fittings,22,1965
1.2.98,Other Quarry Materials,21,860
1.2.99,Other Building/Civil Bulk Materials,43,754
1.3.1,Office Equipment,24,2158
1.3.2,Office Furniture,32,2295
1.3.3,Office Stationery,19,2702
1.3.5,Audio & Visual Equipment & Accessories,30,730
1.3.6,Furniture for hotels and restaurants,5,409
1.3.7,Drawing Office Equipment & Supplies,3,1442
1.3.13,Pre-Printed Stationery/Supplies,37,1681
1.3.16,Publications (Off-The-Shelf),5,422
1.3.17,Paper Maps,4,609
1.3.18,Janitorial Equipment & Supplies,51,2266
1.3.19,"Archiving equipment and consumables (microfiche, etc)",0,416
1.3.20,Microform Equipment,0,377
1.3.21,Printing & Photographic Chemicals & Materials,5,503
1.3.22,Catering Equipment,17,1365
1.3.23,Catering Supplies,9,523
1.3.24,Storage/Warehouse Equipment & Supplies,19,878
1.3.26,Security Printing,25,905
1.3.28,Interior Furnishings & Fittings,8,507
1.3.29,Food & Drink Supplies,2,930
1.3.80,Recycling Supplies,3,359
1.3.99,Other Office Materials & Supplies,5,769
1.4.1,Telecommunications Equipment & Accessories,79,2482
1.4.3,Voice Processing & Other Speech Related Products,44,1346
1.4.4,Telecommunication Transmission Equipment,73,1710
1.4.5,Telemetry Equipment,173,3688
1.4.6,SCADA & Telecontrol Equipment,176,3792
1.4.8,Microwave,47,1258
1.4.9,Antennae/Aerial Masts,56,916
1.4.10,High frequency systems,12,343
1.4.21,ISDN Equipment,19,726
1.4.22,C.L.A.S.S. Equipment,0,308
1.4.23,PABX Equipment,34,435
1.4.24,Payphones & Spares,4,86
1.4.25,Communication Tower Steel Structures,42,642
1.4.26,Radio Clocks,2,283
1.4.27,Synchronising Equipment,6,279
1.4.28,Satellite Communications Equipment,22,773
1.4.29,Radar Equipment,5,256
1.4.99,Other Telecommunications Equipment,69,591
1.5.1,Computer Hardware & Accessories - Workstations/Servers,69,4991
1.5.2,Computer Hardware & Accessories - Portable,64,4356
1.5.3,Computer Hardware - Mainframes,23,1781
1.5.5,Network Equipment & Accessories,93,2855
1.5.6,Software Development Tools,90,3522
1.5.8,Specialist Business Software,228,9418
1.5.9,Technical Software,189,4184
1.5.10,Utility Software,136,4620
1.5.11,Computer Consumables,17,1605
1.5.13,Remote control and telecontrol systems,32,1035
1.5.99,Other Computer Equipment & Supplies,44,1509
1.6.1,Waterproof Clothing,78,3607
1.6.2,Protective Clothing,101,3149
1.6.3,Work Wear/Corporate Clothing,90,3507
1.6.5,Footwear,82,2666
1.6.8,First Aid Kits & Supplies,59,1666
1.6.99,Other Clothing & Footwear,51,1324
1.7.1,Security Equipment,161,4057
1.7.4,Fire Fighting Equipment,57,1619
1.7.5,Fire/Gas Detection/Protection Systems,39,1791
