Product_Code	Number_of_Searches
1.1.6	4910
1.1.7	4241
1.1.8	5064
1.1.9	3482
1.1.10	1524
1.1.11	1056
1.1.13	2189
1.1.14	3403
1.1.16	1102
1.1.18	2922
1.1.19	3572
1.1.20	733
1.1.22	2000
1.1.23	3107
1.1.26	1617
1.1.27	3350
1.1.29	1875
1.1.30	1580
1.1.32	1431
1.1.33	897
1.1.34	979
1.1.35	990
1.1.36	908
1.1.37	954
1.1.38	1181
1.1.39	855
1.1.99	1644
1.2.1	2221
1.2.3	1738
1.2.4	2023
1.2.8	1382
1.2.9	1198
1.2.16	2136
1.2.17	1965
1.2.98	860
1.2.99	754
1.3.1	2158
1.3.2	2295
1.3.3	2702
1.3.5	730
1.3.6	409
1.3.7	1442
1.3.13	1681
1.3.16	422
1.3.17	609
1.3.18	2266
1.3.19	416
1.3.20	377
1.3.21	503
1.3.22	1365
1.3.23	523
1.3.24	878
1.3.26	905
1.3.28	507
1.3.29	930
1.3.80	359
1.3.99	769
1.4.1	2482
1.4.3	1346
1.4.4	1710
1.4.5	3688
1.4.6	3792
1.4.8	1258
1.4.9	916
1.4.10	343
1.4.21	726
1.4.22	308
1.4.23	435
1.4.24	86
1.4.25	642
1.4.26	283
1.4.27	279
1.4.28	773
1.4.29	256
1.4.99	591
1.5.1	4991
1.5.2	4356
1.5.3	1781
1.5.5	2855
1.5.6	3522
1.5.8	9418
1.5.9	4184
1.5.10	4620
1.5.11	1605
1.5.13	1035
1.5.99	1509
1.6.1	3607
1.6.2	3149
1.6.3	3507
1.6.5	2666
1.6.8	1666
1.6.99	1324
1.7.1	4057
1.7.4	1619
1.7.5	1791
1.7.6	575
1.7.7	365
1.7.8	381
1.7.10	447
1.8.1	1232
1.8.2	1290
1.8.3	2423
1.8.6	949
1.8.7	729
1.8.8	479
1.8.9	1581
1.8.10	599
1.8.11	1466
1.8.12	402
1.8.14	364
1.8.15	572
1.8.16	557
1.8.17	308
1.8.18	311
1.8.19	303
1.8.20	302
1.8.99	711
1.9.4	400
1.9.13	1551
1.9.36	912
1.9.37	627
1.9.42	148
1.9.99	220
1.10.1	1697
1.10.2	1514
1.10.3	2236
1.10.5	1184
1.10.6	3296
1.10.8	2699
1.10.9	1446
1.10.10	1877
1.10.11	2162
1.10.12	619
1.10.13	1661
1.10.14	1837
1.10.15	1476
1.10.16	484
1.10.18	1068
1.10.19	1445
1.10.20	585
1.10.21	429
1.10.22	324
1.11.2	1084
1.11.10	294
1.11.11	378
1.11.14	1609
1.11.16	732
1.11.17	513
1.11.18	1787
1.11.19	997
1.11.24	1209
1.11.25	452
1.11.26	257
1.11.27	726
1.11.28	1066
1.11.29	534
1.11.31	473
1.11.99	404
1.12.1	1130
1.12.2	847
1.12.3	1236
1.12.4	1175
1.12.5	1295
1.12.6	1255
1.12.7	725
1.12.8	715
1.12.9	1170
1.12.10	683
1.12.11	724
1.12.15	677
1.12.16	629
1.12.17	666
1.12.99	783
1.51.2	429
1.51.3	517
1.51.4	472
1.51.5	462
1.51.6	442
1.51.7	754
1.51.8	431
1.51.9	420
1.51.10	441
1.51.11	416
1.51.12	411
1.51.13	492
1.51.14	425
1.51.15	520
1.51.16	400
1.51.17	422
1.51.19	392
1.51.99	317
1.52.1	114
1.52.2	109
1.52.3	140
1.52.4	197
1.52.5	240
1.52.6	138
1.52.7	104
1.52.8	96
1.52.10	94
1.52.11	102
1.52.12	112
1.52.13	116
1.52.99	28
1.53.2	85
1.53.3	81
1.53.5	112
1.53.6	70
1.53.8	47
1.53.9	62
1.53.10	98
1.53.11	77
1.53.12	56
1.53.99	1
1.54.1	79
1.54.2	58
1.54.5	69
1.54.6	47
1.54.7	77
1.54.8	60
1.54.9	98
1.54.10	62
1.54.11	39
1.54.12	50
1.54.99	1
1.55.1	58
1.55.2	39
1.55.3	75
1.55.4	101
1.55.5	73
1.55.6	26
1.55.9	87
1.55.10	65
1.55.11	156
1.55.13	69
1.55.14	59
1.55.15	77
1.55.16	56
1.55.17	53
1.55.99	40
1.56.1	47
1.56.2	54
